Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565351711459, 60, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009042877717819154; 0.02487601488171779; 0.006470529942866777]], 0.750774829187813, 
1565351711461, 66, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.011769852840149597; 0.021892382748058967; 0.007308138316052046]], 1.2982531233455308, 
1565351781573, 47, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.004972665697273275; 0.02063579907818284; 0.0027994907473067204]], 0.32391397728530635, 
1565351781586, 83, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007275719284217909; 0.028931813360291134; 0.004118041187595418]], 0.43316541613513154, 
1565351781588, 84, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012613718180896218; 0.05113161389705187; 0.007125141713782566]], 22.153720326630015, 
1565351781594, 98, ESTIMATION, -,[[0.007275719284217909; 0.028931813360291134; 0.004118041187595418]], 0.43316541613513154, 
1565351781598, 73, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008427139941132616; 0.0276443544226172; 0.004445353858258003]], 0.6589971509951605, 
1565351781602, 57, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009002064756727756; 0.024789790592351472; 0.006493088816055054]], 0.7362658704511656, 
1565351781610, 66, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.011703263244862122; 0.02200098010740121; 0.0071993380338068735]], 1.2834213828457866, 
1565351851707, 69, ESTIMATION, -,[[0.0071981854447198245; 0.028920786926181614; 0.004072250119015327]], 0.4405114612310471, 
1565351851710, 56, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012598360029707613; 0.051604477697472464; 0.007113430868965557]], 24.55487633397502, 
1565351851715, 69, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0071981854447198245; 0.028920786926181614; 0.004072250119015327]], 0.4405114612310471, 
1565351851735, 43, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008579068385080265; 0.027364641021669064; 0.004425639271561475]], 0.7118550005135378, 
1565351851749, 75, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.004912336905356725; 0.020584695305637408; 0.0027649734536627298]], 0.3278368339051834, 
1565351851758, 53, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.011568549413965587; 0.02219743307471216; 0.007008231204207248]], 1.291294786670819, 
